"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"FRIGIDA","FRI","Vernalization","Negative","SD and LD","Single mutant: fri single mutant is late flowering under both SD and LD conditions in winter accessions.  Overexpressor: Expression of a functional FRI allele in fri mutants leads to late flowering under both SD and LD conditions.[Lee et al., 1995][Michaels et al., 2004][Schmitz et al., 2005][Lee et al., 1995] Remarks: FRIGIDA is required for FLC expression in winter annual accessions. Many loss-of-function alleles have been described in early flowering summer annuals. [ et al., ][ et al., ][Clarke et al., 1994] Remarks: Introgression of a FRI allele from winter accessions into Col or Ler background leads to a very late flowering-time and increased vernalization-responsiveness. [Lee et al., 1995][Michaels et al., 2004] Overexpressor: The overexpression of FRI in a FRI-containing background does not further increase the late flowering-time phenotype. [Lee et al., 1995][Michaels et al., 2004][Schmitz et al., 2005][Lee et al., 1995]","AT4G00650","FLC regulation through protein complexesFLC regulation during a cold period","Lee I et al., 1993, Mol. Gen. Genet.Clarke J H et al., 1994, Mol. Gen. Genet.Lee I et al., 1995, Plant Physiol.Johanson U et al., 2000, ScienceMichaels S D et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Stinchcombe J R et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Choi K et al., 2011, Plant CellLee J et al., 2013, Nat Commun"
"FRIGIDA LIKE 1, SUPPRESSOR OF FRI 8","FRL1, SUF8","Vernalization","Negative","SD and LD","mutant : frl1 single mutant supresses the late flowering-time phenotype of FRI-containing plants under both SD and LD conditions. [Michaels et al., 2004][Schmitz et al., 2005] Remarks: FRL1 functional allele is required for the late flowering-time phenotype caused by FRIGIDA functional allele, and vice-versa. [Michaels et al., 2004][Schmitz et al., 2005] Overexpressor: FRL1 overexpressor does not display any flowering-time phenotype in the Col FRI background. [Michaels et al., 2004][Schmitz et al., 2005]","AT5G16320","FLC regulation through protein complexes","Michaels S D et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Schmitz R J et al., 2005, DevelopmentSchläppi M R et al., 2006, Plant Physiol.Ding L et al., 2013, Plant Physiol."
"FRIGIDA LIKE 2","FRL2","Vernalization","Negative","None","Remarks: FRL2 allele is functional in the Ler background but not in the Col-0 background; FRL2 promotes FRI-mediated activation of FLC expression in the Ler background. [Schläppi et al., 2006] Remarks: FRL2 is part of the FRIGIDA complex, which is involved in the postivie regulation of FLC expression. [Michaels et al., 2004][Schläppi et al., 2006]","AT1G31814","FLC regulation through protein complexes","Michaels S D et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Schläppi M R et al., 2006, Plant Physiol.Lee J et al., 2013, Nat Commun"
"FRIGIDA-ESSENTIAL 1","FES1","Vernalization","Negative","SD and LD","Single mutant: fes1 single mutant is early flowering under both SD and LD conditions in the Col FRI background. ( The flowering-time phenotype of the single mutant is only visible in the Col FRI background.) [Schmitz et al., 2005] Overexpressor: FES1 overexpressor does not display any flowering-time phenotype. [Schmitz et al., 2005] Remarks: FES1 is involved in the upregulation of FLC expression and its mutation leads to the complete suppression of FRI-mediated delayed flowering.[Schmitz et al., 2005]","AT2G33835","FLC regulation through protein complexes","Schmitz R J et al., 2005, DevelopmentChoi K et al., 2011, Plant CellDing L et al., 2013, Plant Physiol."
"FRUITFULL, AGAMOUS-LIKE 8","FUL, AGL8","Flower development and meristem identity Flowering time integrator","Positive","SD and LD","Single mutant: ful single mutant is slightly late flowering under both SD and LD conditions. [Ferrándiz et al., 2000][Balanzà et al., 2014][Torti et al., 2012][Melzer et al., 2008] Overexpressor: FUL overexpressor is early flowering under both SD and LD conditions. [Ferrándiz et al., 2000][Balanzà et al., 2014]","AT5G60910","OverviewTemperature pathwayAging pathwayPhotoperiod pathwaySugar pathwayVernalization","Mandel M A et al., 1995, Plant CellGu Q et al., 1998, DevelopmentFerrándiz C et al., 2000, DevelopmentFerrándiz C et al., 2000, ScienceTeper-Bamnolker P et al., 2005, Plant CellMelzer S et al., 2008, Nat. Genet.Yamaguchi A et al., 2009, Dev. CellBalanzà V et al., 2014, J. Exp. Bot."
"FT-INTERACTING PROTEIN 1","FTIP1","Photoperiodism, light perception and  signaling","Positive","LD only","Single mutant: ftip1 single mutant is late flowering under LD conditions only. [Liu et al., 2012][Abe et al., 2015] Remarks: FTIP1 is required for the export of FT from companion cells. [Liu et al., 2012] Multiple mutant: ftip1;fe double mutant flowers later under LD conditions than either single mutants. [Abe et al., 2015]","AT5G06850","Photoperiod pathway","Liu L et al., 2012, PLoS Biol."
"FVE , MULTICOPY SUPPRESSOR OF IRA1 4","FVE, MSI4","General","Positive","SD and LD","Single mutant: fve single mutant is late flowering under both SD and LD conditions. [ et al., ][Koornneef et al., 1991][Kim et al., 2004][Ausín et al., 2004] Remarks: fve single mutant has increased FLC expression levels.[Ausín et al., 2004] Overexpressor: FVE overexpressor does not display any flowering-time phenotype. [Ausín et al., 2004][Kim et al., 2004]","AT2G19520","Temperature pathwayFLC regulation through protein complexesGeneral processes & autonomous pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Kim H et al., 2004, Nat. Genet.Ausín I et al., 2004, Nat. Genet.Pazhouhandeh M et al., 2011, Proc. Natl. Acad. Sci. U.S.A.Jeon J et al., 2011, Mol. Cells"
"FY","FY","General","Positive","SD and LD","Single mutant: fy single mutant is late flowering under both SD and LD conditions. (Characterized mutants are hypomorphics, since the null mutant is lethal.) [Koornneef et al., 1991][Henderson et al., 2005][Simpson et al., 2003] Remarks: fy single mutant has increased FLC expression levels. [Manzano et al., 2009][Simpson et al., 2003]Overexpressor: FY overexpression complements fy mutation but does not display any flowering-time phenotype. [Jiang et al., 2012][Simpson et al., 2003]","AT5G13480","VernalizationGeneral processes & autonomous pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Simpson G G et al., 2003, CellHenderson I R et al., 2005, DevelopmentMarquardt S et al., 2006, J. Exp. Bot.Manzano D et al., 2009, Proc. Natl. Acad. Sci. U.S.A.Feng W et al., 2011, Plant Physiol.Jiang S et al., 2012, J. Exp. Bot."
"GA INSENSITIVE DWARF 1A","GID1A","Hormones","Positive","SD and LD","Single mutant: gid1a single mutant does not display any flowering-time phenotype under neither SD nor LD conditions. [Griffiths et al., 2006] Multiple mutant: gid1a;gid1b;gid1c multiple mutant is extremely late flowering under LD conditions and fails to flower under SD conditions. [Willige et al., 2007][Griffiths et al., 2006][Ariizumi et al., 2013] Overexpressor: GID1A overexpression partially rescue the dwarf phenotype of sly1 single mutant. [Ariizumi et al., 2008]","AT3G05120","Hormone pathwayGibberellin metabolismGibberellin receptorsAging pathwayPhotoperiod pathway","Nakajima M et al., 2006, Plant J.Griffiths J et al., 2006, Plant CellWillige B C et al., 2007, Plant CellAriizumi T et al., 2008, Plant CellHou X et al., 2008, Plant Physiol.Galvão V C et al., 2012, DevelopmentLi A et al., 2013, J. Plant Physiol."
"GA INSENSITIVE DWARF 1B","GID1B","Hormones","Positive","SD and LD","Multiple mutant: gid1a;gid1b;gid1c multiple mutant is extremely late flowering under LD conditions and fails to flower under SD conditions. [Willige et al., 2007][Griffiths et al., 2006][Ariizumi et al., 2013] Overexpressor: GID1B overexpression partially rescue the dwarf pheontype of the sly1 single mutant. [Ariizumi et al., 2008]","AT3G63010","Hormone pathwayGibberellin receptorsAging pathwayPhotoperiod pathway","Nakajima M et al., 2006, Plant J.Griffiths J et al., 2006, Plant CellWillige B C et al., 2007, Plant CellAriizumi T et al., 2008, Plant CellHou X et al., 2008, Plant Physiol.Galvão V C et al., 2012, DevelopmentLi A et al., 2013, J. Plant Physiol."
"GA INSENSITIVE DWARF 1C","GID1C","Hormones","Positive","SD and LD","Multiple mutant: gid1a;gid1b;gid1c multiple mutant is extremely late flowering under LD conditions and fails to flower under SD conditions. [Willige et al., 2007][Griffiths et al., 2006][Ariizumi et al., 2013] Overexpressor: GID1C overexpression partially rescue the dwarf pheontype of sly1 mutant. [Ariizumi et al., 2008]","AT5G27320","Hormone pathwayGibberellin receptorsAging pathwayPhotoperiod pathway","Nakajima M et al., 2006, Plant J.Griffiths J et al., 2006, Plant CellWillige B C et al., 2007, Plant CellAriizumi T et al., 2008, Plant CellHou X et al., 2008, Plant Physiol.Galvão V C et al., 2012, DevelopmentLi A et al., 2013, J. Plant Physiol."
"GA REQUIRING 1","GA1","Hormones","Positive","SD and LD","Single mutant: ga1 single mutant is late flowering under both SD and LD conditions. ( the late-flowering phenotype is stronger under SD conditions.) [Wilson et al., 1992][Rieu et al., 2008] Multiple mutant: co;fca;ga1 triple mutant never flowers under neither SD nor LD conditions. [Reeves et al., 2001]","AT4G02780","Hormone pathway","Koornneef M et al., 1980, Theor. Appl. Genet.Wilson R N et al., 1992, Plant Physiol.Reeves P H et al., 2001, Plant Physiol."
"GA REQUIRING 2 , ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE 1","GA2, ATKS1","Hormones","Positive","SD and LD","Single mutant: ga2 single mutant is late flowering under both SD and LD conditions. ( ga2 single mutant is dwarfed and shows pleiotropic defects.) [Martin-Trillo et al., 2006][Yamaguchi et al., 1998]","AT1G79460","Hormone pathway","Yamaguchi S et al., 1998, Plant Physiol.Helliwell C A et al., 2001, Plant J.Löhr B et al., 2014, Mol. Biol. Rep."
"GAST1 PROTEIN HOMOLOG 5","GASA5","Hormones","Negative","SD and LD","Single mutant: gasa5 single mutant is early flowering under both SD and LD conditions. [Zhang et al., 2009] Overexpressor: GASA5 overexpressor is late flowering under both SD and LD conditions. [Zhang et al., 2009] Remarks: GASA5 single mutant shows reduced FLC expression levels while GASA5 overexpressor displays increased FLC expression levels. [Zhang et al., 2009]","AT3G02885","Hormone pathway","Zhang S et al., 2009, Plant Mol. Biol.Rubinovich L et al., 2010, Plant J.Zhang S et al., 2011, J. Plant Physiol."
"GIBBERELLIC ACID INSENSITIVE, RESTORATION ON GROWTH ON AMMONIA 2","GAI, RGA2","Hormones","Positive","SD and LD (ox)","Overexpressor: gai gain of function mutant and GAI overexpressor are late flowering under both SD and LD conditions. [ et al., ][Park et al., 2013][Wilson et al., 1992][Putterill et al., 1995] Remarks: RemarksSingle mutant: gai-d loss of function single mutant does not display any flowering-time phenotype. [Peng et al., 1993]","AT1G14920","Hormone pathwayGibberellin metabolismGibberellin receptorsAging pathwayPhotoperiod pathway","Peng J et al., 1993, Plant CellWilson R N et al., 1995, Plant Physiol.Peng J et al., 1997, Genes Dev.Dill A et al., 2001, GeneticsKing K E et al., 2001, GeneticsOh E et al., 2007, Plant Cell"
"GIBBERELLIN 2-OXIDASE 1","GA2ox1","Hormones","Negative","SD and LD","Single mutant: ga2ox1 single mutant does not display any flowering-time phenotype. [Rieu et al., 2008] Multiple mutant: The quintuple ga2ox mutant (i.e. ga2ox1;2;3;4;6)) is early flowering under both SD and LD conditions. ( The flowering-time phenotype much stronger under SD conditions.) [Rieu et al., 2008] Remarks: ga2ox2;4;6 triple mutant flowers as early as the ga2ox1;2;3;4;6 quintuple mutant, suggesting a minor role for GA2OX1 in the control of flowering-time. [Rieu et al., 2008]","AT1G78440","Hormone pathwayPhotoperiod pathway","Thomas S G et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Rieu I et al., 2008, Plant J.Rieu I et al., 2008, Plant CellPorri A et al., 2012, Development"
"GIBBERELLIN 2-OXIDASE 2","GA2ox2","Hormones","Negative","SD and LD","Single mutant: ga2ox2 single mutant does not display any flowering-time phenotype.[Rieu et al., 2008] Multiple mutant: ga2ox2;4, ga2ox2;6 and ga2ox2;4;6 multiple mutants are early flowering under SD conditions. ( No data available under LD conditions.) [Rieu et al., 2008] Multiple mutant: The quintuple ga2ox mutant (i.e. ga2ox1;2;3;4;6)) is early flowering under both SD and LD conditions. ( The flowering-time phenotype much stronger under SD conditions.) [Rieu et al., 2008]","AT1G30040","Hormone pathwayPhotoperiod pathway","Thomas S G et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Rieu I et al., 2008, Plant J.Rieu I et al., 2008, Plant CellPorri A et al., 2012, Development"
"GIBBERELLIN 2-OXIDASE 3","GA2ox3","Hormones","Negative","SD and LD","Single mutant: ga2ox3 single mutant does not display any flowering-time phenotype. [Rieu et al., 2008] Multiple mutant: The quintuple ga2ox mutant (i.e. ga2ox1;2;3;4;6)) is early flowering under both SD and LD conditions. ( The flowering-time phenotype much stronger under SD conditions.) [Rieu et al., 2008] Remarks: ga2ox2;4;6 triple mutant flowers as early as the ga2ox1;2;3;4;6 quintuple mutant, suggesting minor role for GA2OX3 in the control of flowering-time. [Rieu et al., 2008]","AT2G34555","Hormone pathwayPhotoperiod pathway","Thomas S G et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Rieu I et al., 2008, Plant J.Rieu I et al., 2008, Plant CellPorri A et al., 2012, Development"
"GIBBERELLIN 2-OXIDASE 4","GA2ox4","Hormones","Negative","SD and LD","Single mutant: ga2ox4 single mutant is early flowering under SD conditions. [Rieu et al., 2008] Multiple mutant: ga2ox2;4 and ga2ox2;4;6 multiple mutants are early flowering under SD conditions. ( No data available under LD conditions.)[Rieu et al., 2008] Remarks: GA2OX4 seems to be the main GA2 oxidase involved in the control of flowering time. [Rieu et al., 2008] Multiple mutant: The quintuple ga2ox mutant (i.e. ga2ox1;2;3;4;6)) is early flowering under both SD and LD conditions. ( The flowering-time phenotype much stronger under SD conditions.) [Rieu et al., 2008]","AT1G47990","Hormone pathwayPhotoperiod pathway","Thomas S G et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Rieu I et al., 2008, Plant J.Rieu I et al., 2008, Plant CellPorri A et al., 2012, Development"
"GIBBERELLIN 2-OXIDASE 6","GA2ox6","Hormones","Negative","SD and LD","Single mutant: ga2ox6 single mutant does not display any flowering-time phenotype. [Rieu et al., 2008] Multiple mutant:ga2ox2;6 and ga2ox2;4;6 multiple mutants are early flowering under SD conditions. ( No data available under LD conditions.) [Rieu et al., 2008] Multiple mutant: The quintuple ga2ox mutant (i.e. ga2ox1;2;3;4;6)) is early flowering under both SD and LD conditions. ( The flowering-time phenotype much stronger under SD conditions.) [Rieu et al., 2008]","AT1G02400","Hormone pathwayPhotoperiod pathway","Thomas S G et al., 1999, Proc. Natl. Acad. Sci. U.S.A.Rieu I et al., 2008, Plant J.Rieu I et al., 2008, Plant CellPorri A et al., 2012, Development"
"GIBBERELLIN 2-OXIDASE 7","GA2ox7","Hormones","Negative","SD and LD","Single mutant: ga2ox7 single mutant does not display any flowering-time phenotype. [Schomburg et al., 2003] Overexpressor: GA2OX7 overexpressor is late flowering under both SD and LD conditions. ( Plants are dwarfed and show pleiotropic defects. The flowering-time phenotype is stronger under SD conditions.) [Porri et al., 2012][Schomburg et al., 2003] Multiple mutant: ga2ox7;8 multiple mutant is early flowering under SD conditions. [Schomburg et al., 2003]","AT1G50960","Hormone pathwayPhotoperiod pathway","Schomburg F M et al., 2003, Plant CellMagome H et al., 2008, Plant J.Porri A et al., 2012, Development"
"GIBBERELLIN 2-OXIDASE 8","GA2ox8","Hormones","Negative","SD and LD","Single mutant: ga2ox8 single mutant is early flowering under SD conditions only. [Schomburg et al., 2003] Multiple mutant: ga2ox7;8 multiple mutant is early flowering under both SD and LD conditions. [Schomburg et al., 2003] Overexpressor: GA20X8 overexpressor is late flowering under both SD and LD conditions. ( Plants are dwarfed and show pleiotropic defects. The flowering-time phenotype is stronger under SD conditions.) [Schomburg et al., 2003]","AT4G21200","Hormone pathwayPhotoperiod pathway","Schomburg F M et al., 2003, Plant CellZhao X et al., 2007, Plant Physiol."
